año;mes;dia_semana;hora;intensidad_media;intensidad_total;ocupacion_media;velocidad_media;registros
2023;1;5;2;910,1;182020;2,884003350083752;25,955;200
2023;1;5;3;762,365;152473;2,4297138047138045;23,87875;200
2023;1;5;4;684,725;136945;2,205160744500846;23,135;200
2023;1;5;5;664,505;132901;2,0284757118927974;22,8275;200
2023;1;5;6;814,995;162999;2,484848484848485;25,545;200
2023;1;5;7;936,075;187215;2,7043551088777216;26,7975;200
2023;1;5;8;1052,95;210590;2,9276094276094273;27,57;200
2023;1;5;9;1396,185;279237;3,7445286195286194;28,805;200
2023;1;5;10;1826,445;365289;5,004606365159129;29,06875;200
2023;1;5;11;2096,69;419338;6,210636515912898;28,8425;200
2023;1;5;12;2367,975;473595;6,8371021775544385;28,87125;200
2023;1;5;13;2618,855;523771;7,937185929648241;28,7575;200
2023;1;5;14;2758,525;551705;8,353015075376884;28,9225;200
2023;1;5;15;2167,895;433579;6,2043551088777225;29,4475;200
2023;1;5;16;1797,06;359412;5,08961474036851;29,26125;200
2023;1;5;17;2052,805;410561;5,935929648241206;28,83875;200
2023;1;5;18;2321,715;464343;6,877721943048576;28,915;200
2023;1;5;19;2402,385;480477;7,342127303182579;28,73375;200
2023;1;5;20;2382,87;476574;7,265494137353434;28,42875;200
2023;1;5;21;2253,9;450780;6,807788944723618;28,795;200
2023;1;5;22;1877,475;375495;5,566164154103853;28,87625;200
2023;1;5;23;1532,805;306561;4,6792294807370185;28,8875;200
2023;1;6;0;1396,66;349165;4,070281124497992;27,249;250
2023;1;6;1;1210,132;302533;3,711432506887052;25,897;250
2023;1;6;2;989,004;247251;3,1832641770401104;24,947;250
2023;1;6;3;789,88;197470;2,5453277545327757;24,358;250
2023;1;6;4;684,948;171237;2,3563458856345885;22,274;250
2023;1;6;5;626,468;156617;2,1229338842975207;21,717;250
2023;1;6;6;716,42;179105;2,097107438016529;23,432;250
2023;1;6;7;768,612;192153;2,395486111111111;24,387;250
2023;1;6;8;737,784;184446;2,1967496542185336;24,357;250
2023;1;6;9;887,404;221851;2,5408022130013834;25,553;250
2023;1;6;10;1171,992;292998;3,2766531713900138;27,044;250
2023;1;6;11;1581,096;395274;4,538934426229508;28,141;250
2023;1;6;12;1885,344;471336;5,572062841530054;28,065;250
2023;1;6;13;2093,768;523442;6,266393442622951;28,202;250
2023;1;6;14;2245,88;561470;6,66905737704918;28,118;250
2023;1;6;15;1774,824;443706;5,057718579234972;28,267;250
2023;1;6;16;1529,148;382287;4,34084699453552;28,187;250
2023;1;6;17;1800,36;450090;5,215163934426229;28,32;250
2023;1;6;18;2008,06;502015;5,909494535519126;28,15;250
2023;1;6;19;2068,936;517234;6,209016393442623;27,921;250
2023;1;6;20;1949,584;487396;5,694330601092896;28,065;250
2023;1;6;21;1592,588;398147;4,571379781420766;28,352;250
2023;1;6;22;1306,152;326538;3,774248633879781;28,068;250
2023;1;6;23;1092,796;273199;3,199795081967213;27,802;250
