id;tipo_elem;distrito;nombre;longitud;latitud
5947;URB;15.0;Hermanos García Noblejas - Dr. Cirajas-Vital Aza;-3.636269485020413;40.43534534357867
5948;URB;20.0;Hermanos García Noblejas - Albasanz-Ascao;-3.6353432999413253;40.434252867813086
5949;URB;15.0;Hermanos García Noblejas - Vital Aza-Ascao;-3.634974393150266;40.43355737513467
5950;URB;20.0;Hermanos García Noblejas - Vital Aza-Ascao;-3.6349197938321884;40.43360890903827
5951;URB;20.0;Hermanos García Noblejas - Ascao-Santo Domingo Savio;-3.633675976085961;40.43204658686098
5953;URB;15.0;Hermanos García Noblejas - Emilio Muñóz-Miguel Fleta;-3.6326757091718087;40.43049655945682
10717;URB;20.0;Hermanos García Noblejas - Miguel Fleta-Julián Camarillo;-3.6341034721041665;40.432488909564015
5955;URB;20.0;Hermanos García Noblejas - Emilio Muñóz-Valdecanillas;-3.6319002278174133;40.429569241607275
5956;URB;15.0;Hermanos García Noblejas - Gandhi-Fco. Largo Caballero;-3.6292900896081144;40.425710710886705
5957;URB;20.0;Hermanos García Noblejas - Pobladura del Valle-Av. Arcentales;-3.6273257014177123;40.423233967379026
5959;URB;15.0;Hermanos García Noblejas - Francisco Largo Caballero-Pobladura del Valle;-3.6269989175947535;40.42265353310555
5964;URB;20.0;Emilio Muñóz - Albarracín-Hermanos García Noblejas;-3.6313060426469645;40.43053003452041
5965;URB;15.0;Braulio Gutiérrez - José Arcones Gil-Hermanos García Noblejas;-3.6339271294206763;40.429446583949
5966;URB;20.0;Av. Arcentales - Ajofrin-Hermanos García Noblejas;-3.627112504694318;40.4254844264482
5967;URB;15.0;Pl. Alsacia - Malmoe-Hermanos García Noblejas;-3.6235124142032586;40.41699648269871
5968;URB;20.0;Pl. Alsacia - Aquitania-Av. Guadalajara;-3.622591814376156;40.41741710577227
5969;URB;20.0;Aquitania - Pl. Alsacia-Capri;-3.622106994171451;40.417302548223276
5971;URB;15.0;Francisco Largo Caballero - José Arcones Gil-Hermanos García Noblejas;-3.629721122713467;40.42387191343967
5972;URB;20.0;Pobladura del Valle - San Román del Valle-Hermanos García Noblejas;-3.6259072736865336;40.422433807020475
5973;URB;20.0;Hermanos García Noblejas - Pl. Alsacia-Pobladura del Valle;-3.623941976652559;40.4185674333191
3646;URB;15.0;Fuente Carrantona  - Prolongación O`Donnell-Pl. Alsacia;-3.6248883248231643;40.416883715248105
5976;URB;20.0;Hermanos García Noblejas - Emilio Muñóz-Miguel Fleta;-3.632505520903878;40.43040384543877
5979;URB;20.0;Hermanos García Noblejas - Castillo de Uclés-Castillo de Arévalo;-3.629802288814965;40.426658462959
5980;URB;20.0;Hermanos García Noblejas - Arcentales-Castillo de Uclés;-3.628733246446721;40.42522835911588
5981;URB;15.0;Hermanos García Noblejas - Francisco Largo Caballero-Pepe Ysbert;-3.6276280617376258;40.42341549235682
5984;URB;15.0;Hermanos García Noblejas - Idioma Esperanto-Pl. Alsacia;-3.624523863092659;40.41916326976376
5985;URB;20.0;Hermanos García Noblejas - Albasanz-Argos;-3.635878924720926;40.43504689443686
5986;URB;15.0;Braulio Gutiérrez - Luis Ruíz-José Arcones Gil;-3.6353047019266262;40.42886941100546
5989;URB;15.0;Gandhi - Luis Ruíz-José Arcones Gil;-3.6328084051739684;40.424806256231065
3647;URB;15.0;José Arcones Gil  - Portugalete-Gandhi;-3.6323604480678275;40.42582791327944
5990;URB;15.0;José Arcones Gil  - Gabriel Montero-Gandhi;-3.6314472132997175;40.42463001202321
5991;URB;15.0;Hermanos García Noblejas - Luis del Campo-Castillo de Arévalo;-3.6316389174377997;40.42895525628533
5993;URB;15.0;Pl. Alsacia - Fuente Carrantona-Malmoe;-3.623703923600028;40.41721137707606
5999;URB;15.0;Hermanos García Noblejas - Luis del Campo - Gandhi;-3.629819180508247;40.426529517508534
10345;URB;20.0;Emilio Muñoz - Hermanos García Noblejas - Valdecanillas;-3.6307344343102312;40.43071079887034
10344;URB;20.0;Emilio Muñoz - Valdecanillas - Epifania;-3.6285223030554463;40.43164919572018
10343;URB;20.0;Emilio Muñoz - Zaldivar - Sta. Leonor;-3.6269240353684813;40.432434371977145
10340;URB;20.0;Emilio Muñoz - Rufino Gonzalez - Alfonso Gomez;-3.6245924592795666;40.43355133990413
10486;URB;20.0;Alfonso Gomez - Juan de Arespacochaga y Felipe - Emilio Muñoz;-3.625993425209182;40.43395335023018
10341;URB;20.0;Emilio Muñoz - Valdecanillas - Castillo de Ucles;-3.6238252232323998;40.433858898336396
