año;mes;dia_semana;hora;intensidad_media;intensidad_total;ocupacion_media;velocidad_media;registros
2023;1;5;0;337,88375;67576,75;3,94891122278057;28,325;200
2023;1;5;1;293,1725;58634,5;3,5598827470686767;27,625;200
2023;1;5;2;227,525;45505,0;2,884003350083752;25,955;200
2023;1;5;3;190,59125;38118,25;2,4297138047138045;23,87875;200
2023;1;5;4;171,18125;34236,25;2,205160744500846;23,135;200
2023;1;5;5;166,12625;33225,25;2,0284757118927974;22,8275;200
2023;1;5;6;203,74875;40749,75;2,484848484848485;25,545;200
2023;1;5;7;234,01875;46803,75;2,7043551088777216;26,7975;200
2023;1;5;8;263,2375;52647,5;2,9276094276094273;27,57;200
2023;1;5;9;349,04625;69809,25;3,7445286195286194;28,805;200
2023;1;5;10;456,61125;91322,25;5,004606365159129;29,06875;200
2023;1;5;11;524,1725;104834,5;6,210636515912898;28,8425;200
2023;1;5;12;591,99375;118398,75;6,8371021775544385;28,87125;200
2023;1;5;13;654,71375;130942,75;7,937185929648241;28,7575;200
2023;1;5;14;689,63125;137926,25;8,353015075376884;28,9225;200
2023;1;5;15;541,97375;108394,75;6,2043551088777225;29,4475;200
2023;1;5;16;449,265;89853,0;5,08961474036851;29,26125;200
2023;1;5;17;513,20125;102640,25;5,935929648241206;28,83875;200
2023;1;5;18;580,42875;116085,75;6,877721943048576;28,915;200
2023;1;5;19;600,59625;120119,25;7,342127303182579;28,73375;200
2023;1;5;20;595,7175;119143,5;7,265494137353434;28,42875;200
2023;1;5;21;563,475;112695,0;6,807788944723618;28,795;200
2023;1;5;22;469,36875;93873,75;5,566164154103853;28,87625;200
2023;1;5;23;383,20125;76640,25;4,6792294807370185;28,8875;200
2023;1;6;0;349,165;87291,25;4,070281124497992;27,249;250
2023;1;6;1;302,533;75633,25;3,711432506887052;25,897;250
2023;1;6;2;247,251;61812,75;3,1832641770401104;24,947;250
2023;1;6;3;197,47;49367,5;2,5453277545327757;24,358;250
2023;1;6;4;171,237;42809,25;2,3563458856345885;22,274;250
2023;1;6;5;156,617;39154,25;2,1229338842975207;21,717;250
2023;1;6;6;179,105;44776,25;2,097107438016529;23,432;250
2023;1;6;7;192,153;48038,25;2,395486111111111;24,387;250
2023;1;6;8;184,446;46111,5;2,1967496542185336;24,357;250
2023;1;6;9;221,851;55462,75;2,5408022130013834;25,553;250
2023;1;6;10;292,998;73249,5;3,2766531713900138;27,044;250
2023;1;6;11;395,274;98818,5;4,538934426229508;28,141;250
2023;1;6;12;471,336;117834,0;5,572062841530054;28,065;250
2023;1;6;13;523,442;130860,5;6,266393442622951;28,202;250
2023;1;6;14;561,47;140367,5;6,66905737704918;28,118;250
2023;1;6;15;443,706;110926,5;5,057718579234972;28,267;250
2023;1;6;16;382,287;95571,75;4,34084699453552;28,187;250
2023;1;6;17;450,09;112522,5;5,215163934426229;28,32;250
2023;1;6;18;502,015;125503,75;5,909494535519126;28,15;250
2023;1;6;19;517,234;129308,5;6,209016393442623;27,921;250
2023;1;6;20;487,396;121849,0;5,694330601092896;28,065;250
2023;1;6;21;398,147;99536,75;4,571379781420766;28,352;250
2023;1;6;22;326,538;81634,5;3,774248633879781;28,068;250
2023;1;6;23;273,199;68299,75;3,199795081967213;27,802;250
2023;2;0;0;173,8925;34778,5;2,2508333333333335;23,04375;200
2023;2;0;1;97,0775;19415,5;1,8133333333333335;17,42375;200
2023;2;0;2;60,2525;12050,5;1,1751700680272108;13,945;200
2023;2;0;3;45,99625;9199,25;1,0151515151515151;10,56125;200
2023;2;0;4;47,28875;9457,75;0,7671691792294807;11,01375;200
2023;2;0;5;68,27651515151516;13518,75;0,8886054421768707;14,978535353535353;198
2023;2;0;6;200,8510101010101;39768,5;2,7066326530612246;25,064393939393938;198
2023;2;0;7;549,179292929293;108737,5;6,617003367003368;29,271464646464647;198
2023;2;0;8;788,6073232323232;156144,25;10,746212121212121;29,231060606060606;198
2023;2;0;9;753,3604060913706;148412,0;10,94373942470389;29,08248730964467;197
2023;2;0;10;605,6977040816327;118716,75;7,698979591836735;29,540816326530614;196
2023;2;0;11;577,7166666666667;112654,75;7,4282051282051285;29,578205128205127;195
2023;2;0;12;598,3699494949495;118477,25;7,69949494949495;29,359848484848484;198
2023;2;0;13;628,0328282828283;124350,5;8,212542087542086;29,265151515151516;198
2023;2;0;14;745,8064102564102;145432,25;8,79102564102564;29,97820512820513;195
2023;2;0;15;759,2902010050251;151098,75;9,262562814070352;29,3856783919598;199
2023;2;0;16;674,8184210526316;128215,5;8,257894736842106;30,6;190
2023;2;0;17;701,85375;140370,75;9,5125;28,63125;200
2023;2;0;18;781,4133165829146;155501,25;10,226549413735343;28,46356783919598;199
2023;2;0;19;775,5037688442211;154325,25;10,447236180904522;28,467336683417084;199
2023;2;0;20;667,6313775510204;130855,75;7,650510204081633;29,730867346938776;196
2023;2;0;21;523,0760309278351;101476,75;5,86340206185567;30,612113402061855;194
2023;2;0;22;357,8845177664975;70503,25;4,377326565143824;29,893401015228427;197
2023;2;0;23;226,32837837837837;41870,75;2,6031531531531535;29,263513513513512;185
2023;2;1;0;144,72066326530611;28365,25;1,694017094017094;20,572704081632654;196
2023;2;1;1;71,48846153846154;13940,25;1,1286324786324786;15,026923076923078;195
2023;2;1;2;40,391959798994975;8038,0;1,1700167504187604;10,149497487437186;199
2023;2;1;3;34,27638190954774;6821,0;0,742003367003367;9,228643216080402;199
2023;2;1;4;38,58793969849246;7679,0;0,6343537414965986;10,045226130653266;199
2023;2;1;5;63,39698492462311;12616,0;0,9426298157453935;13,520100502512562;199
2023;2;1;6;195,99489795918367;38415,0;2,108119658119658;24,247448979591837;196
2023;2;1;7;564,0429292929293;111680,5;6,835437710437711;29,141414141414142;198
2023;2;1;8;832,5;164835,0;12,360690235690235;28,522727272727273;198
2023;2;1;9;758,8404522613065;151009,25;13,690536013400335;27,768844221105528;199
2023;2;1;10;645,2295918367347;126465,0;9,572278911564625;28,705357142857142;196
2023;2;1;11;595,5339195979899;118511,25;7,775125628140704;28,91331658291457;199
2023;2;1;12;611,1846733668342;121625,75;7,751256281407035;29,07537688442211;199
2023;2;1;13;651,304292929293;128958,25;8,176767676767676;29,430555555555557;198
2023;2;1;14;776,3103015075377;154485,75;9,902428810720268;29,282663316582916;199
2023;2;1;15;779,41625;155883,25;10,6275;28,5425;200
2023;2;1;16;711,79375;142358,75;9,44125;28,8225;200
2023;2;1;17;758,4391534391534;143345,0;10,478395061728396;29,752645502645503;189
2023;2;1;18;802,1168341708543;159621,25;11,683417085427136;28,344221105527637;199
2023;2;1;19;784,5125628140704;156118,0;11,566582914572864;27,860552763819097;199
2023;2;1;20;714,9836683417085;142281,75;9,173366834170855;28,865577889447238;199
2023;2;1;21;570,7236180904523;113574,0;7,193467336683417;29,484924623115578;199
2023;2;1;22;378,70328282828285;74983,25;4,836279461279461;29,279040404040405;198
2023;2;1;23;262,1641414141414;51908,5;3,492845117845118;28,00631313131313;198
2023;2;2;0;172,79020100502512;34385,25;2,2567001675041873;21,22613065326633;199
2023;2;2;1;87,7825;17556,5;1,495;15,645;200
2023;2;2;2;49,16875;9833,75;1,035;12,3025;200
2023;2;2;3;36,8725;7374,5;0,6920833333333333;10,17125;200
2023;2;2;4;37,062814070351756;7375,5;0,49238578680203043;9,879396984924623;199
2023;2;2;5;59,33625;11867,25;0,83625;13,01375;200
2023;2;2;6;190,585;38117,0;2,205;24,2975;200
2023;2;2;7;560,7025;112140,5;6,6725;28,8675;200
2023;2;2;8;815,12125;163024,25;12,465;28,14625;200
2023;2;2;9;773,54375;154708,75;12,33875;27,7925;200
2023;2;2;10;629,8429648241206;125338,75;8,352596314907872;28,712311557788944;199
2023;2;2;11;594,2625628140704;118258,25;7,68476430976431;28,85929648241206;199
2023;2;2;12;614,4698492462312;122279,5;7,783082077051926;28,902010050251256;199
2023;2;2;13;646,51875;129303,75;8,3075;28,9775;200
2023;2;2;14;761,07375;152214,75;10,0725;29,105;200
2023;2;2;15;783,0625;156612,5;10,4925;28,9725;200
2023;2;2;16;710,57875;142115,75;9,526666666666666;29,275;200
2023;2;2;17;752,045;150409,0;10,3875;28,77;200
2023;2;2;18;800,785;160157,0;11,2025;28,15625;200
2023;2;2;19;802,75125;160550,25;11,196666666666667;28,095;200
2023;2;2;20;719,33375;143866,75;9,0075;28,68625;200
2023;2;2;21;576,0475;115209,5;6,852083333333334;29,57875;200
2023;2;2;22;393,41;78682,0;4,46125;29,65375;200
2023;2;2;23;286,41625;57283,25;3,519166666666667;28,2325;200
2023;2;3;0;202,39375;40478,75;2,49625;24,07;200
2023;2;3;1;103,92625;20785,25;1,49375;18,02375;200
2023;2;3;2;63,23375;12646,75;1,2487373737373737;14,14;200
2023;2;3;3;47,97625;9595,25;1,0349326599326598;11,42625;200
2023;2;3;4;47,21105527638191;9395,0;0,752946127946128;11,28643216080402;199
2023;2;3;5;67,60375;13520,75;0,7981574539363484;14,23375;200
2023;2;3;6;193,93875;38787,75;2,375;23,375;200
2023;2;3;7;550,32375;110064,75;6,626666666666666;28,73625;200
2023;2;3;8;809,215;161843,0;11,3175;28,87125;200
2023;2;3;9;773,59375;154718,75;11,949166666666667;28,3975;200
2023;2;3;10;625,6231155778894;124499,0;8,421691792294808;28,82788944723618;199
2023;2;3;11;607,8781407035176;120967,75;7,9539363484087096;28,587939698492463;199
2023;2;3;12;618,2160804020101;123025,0;7,8706030150753765;28,967336683417084;199
2023;2;3;13;654,35125;130870,25;8,415;28,98375;200
2023;2;3;14;784,6293969849246;156141,25;9,958542713567839;29,228643216080403;199
2023;2;3;15;798,1130653266332;158824,5;9,693467336683417;29,262562814070353;199
2023;2;3;16;720,9949748743719;143478,0;9,43718592964824;29,170854271356784;199
2023;2;3;17;766,1017587939698;152454,25;10,992462311557789;28,64824120603015;199
2023;2;3;18;808,05875;161611,75;11,63875;28,01125;200
2023;2;3;19;797,8975;159579,5;11,951666666666668;27,5125;200
2023;2;3;20;741,98125;148396,25;9,7275;28,2675;200
2023;2;3;21;601,87875;120375,75;7,130833333333333;29,36625;200
2023;2;3;22;412,09625;82419,25;5,13875;29,64125;200
2023;2;3;23;310,24;62048,0;4,12125;28,6;200
2023;2;4;0;240,62;48124,0;2,964166666666667;24,58625;200
2023;2;4;1;138,05375;27610,75;1,7726130653266332;19,81875;200
2023;2;4;2;84,9375;16987,5;1,4204545454545454;16,08625;200
2023;2;4;3;63,47875;12695,75;1,2074915824915824;13,35625;200
2023;2;4;4;60,725;12145,0;1,0744949494949494;13,7925;200
2023;2;4;5;81,32125;16264,25;1,0871212121212122;16,65625;200
2023;2;4;6;198,8475;39769,5;2,2683333333333335;24,765;200
2023;2;4;7;501,63;100326,0;5,777083333333334;28,74125;200
2023;2;4;8;730,495;146099,0;9,35;29,12875;200
2023;2;4;9;698,89125;139778,25;9,6325;29,05125;200
2023;2;4;10;610,50625;122101,25;7,756666666666666;29,02;200
2023;2;4;11;601,66375;120332,75;7,6225;28,725;200
2023;2;4;12;636,4937185929648;126662,25;8,246231155778894;28,90452261306533;199
2023;2;4;13;702,3675;140473,5;9,262083333333333;28,86;200
2023;2;4;14;844,43;168886,0;12,10375;28,53625;200
2023;2;4;15;851,77125;170354,25;12,65875;27,45375;200
2023;2;4;16;750,78375;150156,75;10,52125;28,05875;200
2023;2;4;17;757,09125;151418,25;10,0075;28,59375;200
2023;2;4;18;749,39375;149878,75;10,10375;27,97375;200
2023;2;4;19;715,845;143169,0;9,808333333333334;28,32875;200
2023;2;4;20;704,4375;140887,5;9,75125;27,77;200
2023;2;4;21;631,60875;126321,75;7,97;28,685;200
2023;2;4;22;469,1;93820,0;5,6554166666666665;29,1575;200
2023;2;4;23;351,615;70323,0;4,45375;28,5525;200
2023;2;5;0;315,875;63175,0;3,739583333333333;28,31625;200
2023;2;5;1;254,265;50853,0;3,2375;27,38625;200
2023;2;5;2;175,16331658291458;34857,5;2,254187604690117;25,116834170854272;199
2023;2;5;3;127,99246231155779;25470,5;1,8147208121827412;21,72613065326633;199
2023;2;5;4;113,5625;22712,5;1,6524288107202678;20,51;200
2023;2;5;5;107,3825;21476,5;1,6220238095238095;20,975;200
2023;2;5;6;151,225;30245,0;2,0063451776649748;24,97625;200
2023;2;5;7;186,4810606060606;36923,25;2,1102693602693603;27,2260101010101;198
2023;2;5;8;223,856783919598;44547,5;2,319095477386935;27,623115577889447;199
2023;2;5;9;340,23115577889445;67706,0;3,7018425460636513;28,474874371859297;199
2023;2;5;10;460,0603015075377;91552,0;4,940536013400335;29,084170854271356;199
2023;2;5;11;540,8618090452261;107631,5;6,11390284757119;28,891959798994975;199
2023;2;5;12;616,7975;123359,5;7,49125;28,5625;200
2023;2;5;13;676,7375;135347,5;8,754166666666666;28,51;200
2023;2;5;14;713,14;142628,0;8,83625;28,48125;200
2023;2;5;15;542,94375;108588,75;6,3220833333333335;29,41875;200
2023;2;5;16;424,7525;84950,5;4,935416666666667;29,3075;200
2023;2;5;17;505,50875;101101,75;5,913333333333334;29,07125;200
